,Description (2018 Census Occupation Code),2018 Census PUMS Occupation Code
"mail clerks and mail machine operators, except postal service","mail clerks and mail machine operators, except postal service",5850
"office clerks, general","office clerks, general",5860
"office machine operators, except computer","office machine operators, except computer",5900
proofreaders and copy markers,proofreaders and copy markers,5910
statistical assistants,statistical assistants,5920
other office and administrative support workers,other office and administrative support workers,5940
desktop publishers, desktop publishers,5830
"office and administrative support workers, all other"," office and administrative support workers, all other",5940
"first-line supervisors of farming, fishing, and forestry workers","first-line supervisors of farming, fishing, and forestry workers",6005
agricultural inspectors,agricultural inspectors,6010
"graders and sorters, agricultural products","graders and sorters, agricultural products",6040
other agricultural workers,other agricultural workers,6050
animal breeders, animal breeders,6020
miscellaneous agricultural workers, miscellaneous agricultural workers,6050
fishing and hunting workers,fishing and hunting workers,6115
forest and conservation workers,forest and conservation workers,6120
logging workers,logging workers,6130
first-line supervisors of construction trades and extraction workers,first-line supervisors of construction trades and extraction workers,6200
boilermakers,boilermakers,6210
"brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers","brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",6220
"brickmasons, blockmasons, and stonemasons"," brickmasons, blockmasons, and stonemasons",6220
reinforcing iron and rebar workers, reinforcing iron and rebar workers,6500
carpenters,carpenters,6230
"carpet, floor, and tile installers and finishers","carpet, floor, and tile installers and finishers",6240
"cement masons, concrete finishers, and terrazzo workers","cement masons, concrete finishers, and terrazzo workers",6250
construction laborers,construction laborers,6260
construction equipment operators,construction equipment operators,6305
"drywall installers, ceiling tile installers, and tapers","drywall installers, ceiling tile installers, and tapers",6330
electricians,electricians,6355
glaziers,glaziers,6360
insulation workers,insulation workers,6400
painters and paperhangers,painters and paperhangers,6410
pipelayers,pipelayers,6441
"plumbers, pipefitters, and steamfitters","plumbers, pipefitters, and steamfitters",6442
plasterers and stucco masons,plasterers and stucco masons,6460
roofers,roofers,6515
sheet metal workers,sheet metal workers,6520
structural iron and steel workers,structural iron and steel workers,6530
solar photovoltaic installers,solar photovoltaic installers,6540
"helpers, construction trades","helpers, construction trades",6600
construction and building inspectors,construction and building inspectors,6660
elevator and escalator installers and repairers,elevator and escalator installers and repairers,6700
fence erectors,fence erectors,6710
hazardous materials removal workers,hazardous materials removal workers,6720
highway maintenance workers,highway maintenance workers,6730
rail-track laying and maintenance equipment operators,rail-track laying and maintenance equipment operators,6740
other construction and related workers,other construction and related workers,6765
septic tank servicers and sewer pipe cleaners, septic tank servicers and sewer pipe cleaners,6750
miscellaneous construction and related workers, miscellaneous construction and related workers,6765
"derrick, rotary drill, and service unit operators, and roustabouts, oil and gas","derrick, rotary drill, and service unit operators, and roustabouts, oil and gas",6800
"derrick, rotary drill, and service unit operators, oil and gas"," derrick, rotary drill, and service unit operators, oil and gas",6800
"roustabouts, oil and gas"," roustabouts, oil and gas",6920
surface mining machine operators and earth drillers,surface mining machine operators and earth drillers,6825
"excavating and loading machine and dragline operators, surface mining"," excavating and loading machine and dragline operators, surface mining",6821
"earth drillers, except oil and gas"," earth drillers, except oil and gas",6825
"explosives workers, ordnance handling experts, and blasters","explosives workers, ordnance handling experts, and blasters",6835
underground mining machine operators,underground mining machine operators,6850
other extraction workers,other extraction workers,6950
"rock splitters, quarry","rock splitters, quarry ",6950
helpers--extraction workers,helpers--extraction workers ,6950
"extraction workers, all other","extraction workers, all other ",6950
"first-line supervisors of mechanics, installers, and repairers","first-line supervisors of mechanics, installers, and repairers",7000
"computer, automated teller, and office machine repairers","computer, automated teller, and office machine repairers",7010
radio and telecommunications equipment installers and repairers,radio and telecommunications equipment installers and repairers,7020
avionics technicians,avionics technicians,7030
